city,state_or_territory,latitude,longitude,season,months_included,hot_days_ge_30,very_hot_days_ge_35,extreme_hot_days_ge_40,rainfall_mm,rain_days,rain_days_ge_1mm,mean_solar_exposure_mj_m2,mean_rh_avg,mean_monthly_comfort_score,mean_heat_score,mean_rain_score
Sydney,NSW,-33.86,151.21,Summer,"Jan,Feb,Dec",8.9,2.2,0.3,297.6,36.1,25.5,21.83,66.17,91.92,93.71,77.41
Sydney,NSW,-33.86,151.21,Autumn,"Mar,Apr,May",2,0.2,0,375.5,39.4,27.4,13.5,66.33,88.09,98.97,73.17
Sydney,NSW,-33.86,151.21,Winter,"Jun,Jul,Aug",0,0,0,309.6,34,23.3,10.5,61.33,84.48,100,77.43
Sydney,NSW,-33.86,151.21,Spring,"Sep,Oct,Nov",4.3,0.8,0,228.6,33.7,23.3,19.43,59,92.98,97.47,81.22
Sydney,NSW,-33.86,151.21,Annual,"Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec",15.2,3.2,0.3,1211.3,143.2,99.5,16.32,63.21,89.37,97.54,77.31
Melbourne,VIC,-37.81,144.97,Summer,"Jan,Feb,Dec",20.6,8.3,1.2,153.9,26.3,17.9,23.13,55.5,92.79,81.76,86.13
Melbourne,VIC,-37.81,144.97,Autumn,"Mar,Apr,May",5.5,1,0.1,163.1,35.8,23.7,11.77,62.67,87.69,96.58,84.03
Melbourne,VIC,-37.81,144.97,Winter,"Jun,Jul,Aug",0,0,0,147,47.6,29.5,7.8,68.67,73.8,100,83.59
Melbourne,VIC,-37.81,144.97,Spring,"Sep,Oct,Nov",3.9,0.7,0,184.3,40.9,28.9,17.57,57.33,90.39,97.73,81.4
Melbourne,VIC,-37.81,144.97,Annual,"Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec",30,10,1.3,648.3,150.6,100,15.07,61.04,86.17,94.02,83.79
Brisbane,QLD,-27.47,153.03,Summer,"Jan,Feb,Dec",32.2,2.5,0,451.2,37.5,24.9,22.9,62.17,81.98,83.96,73.33
Brisbane,QLD,-27.47,153.03,Autumn,"Mar,Apr,May",7.7,0.3,0,306.9,35,22,16.07,62.83,89.12,96.41,80.06
Brisbane,QLD,-27.47,153.03,Winter,"Jun,Jul,Aug",0.1,0,0,170.2,21.8,12.7,13.67,56.83,91.79,99.96,88.85
Brisbane,QLD,-27.47,153.03,Spring,"Sep,Oct,Nov",9.8,0.7,0.1,218.1,26.3,16.8,21.5,55.67,92.9,94.97,84.8
Brisbane,QLD,-27.47,153.03,Annual,"Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec",49.8,3.5,0.1,1146.4,120.6,76.4,18.53,59.38,88.95,93.83,81.76
Perth,WA,-31.92,115.87,Summer,"Jan,Feb,Dec",49,20.2,3.6,38.2,8.2,4.6,28.27,45.33,81.34,54.73,96.71
Perth,WA,-31.92,115.87,Autumn,"Mar,Apr,May",18.9,4.3,0.5,140.6,22.2,15.8,15.73,54.83,87.95,87.23,87.06
Perth,WA,-31.92,115.87,Winter,"Jun,Jul,Aug",0,0,0,399.3,48.6,39.4,10.9,66.67,83.01,100,65.53
Perth,WA,-31.92,115.87,Spring,"Sep,Oct,Nov",10.7,2.3,0.1,143.9,29,20.3,22.23,53.5,93.55,93.25,85.75
Perth,WA,-31.92,115.87,Annual,"Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec",78.6,26.8,4.2,722,108,80.1,19.28,55.08,86.46,83.8,83.76
Adelaide,SA,-34.93,138.58,Summer,"Jan,Feb,Dec",31.7,13.6,2.3,66.2,14.3,9.3,26,46,89.03,70.33,93.76
Adelaide,SA,-34.93,138.58,Autumn,"Mar,Apr,May",9.4,1.6,0.2,134,27.9,20.2,13.93,56.33,90.55,94.19,86.66
Adelaide,SA,-34.93,138.58,Winter,"Jun,Jul,Aug",0,0,0,199,46.7,34.6,9.13,67.67,79.15,100,79.38
Adelaide,SA,-34.93,138.58,Spring,"Sep,Oct,Nov",8.5,1.7,0.1,125.5,31.9,22.3,20.07,53.33,93.42,94.7,86.85
Adelaide,SA,-34.93,138.58,Annual,"Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec",49.6,16.9,2.6,524.7,120.8,86.4,17.28,55.83,88.04,89.81,86.66
Hobart,TAS,-42.89,147.33,Summer,"Jan,Feb,Dec",4.7,1,0,141.7,32.7,17.7,21.37,58.17,95.02,97.13,87.65
Hobart,TAS,-42.89,147.33,Autumn,"Mar,Apr,May",0.8,0.1,0,140.9,37.1,19.9,9.43,65.33,84.25,99.57,87.13
Hobart,TAS,-42.89,147.33,Winter,"Jun,Jul,Aug",0,0,0,159.5,45.2,23.4,6.3,70.33,67.35,100,85.11
Hobart,TAS,-42.89,147.33,Spring,"Sep,Oct,Nov",0.8,0.1,0,169,45.5,25.8,16.27,59.5,86.42,99.57,84.2
Hobart,TAS,-42.89,147.33,Annual,"Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec",6.3,1.2,0,611.1,160.5,86.8,13.34,63.33,83.26,99.07,86.02
Darwin,NT,-12.42,130.89,Summer,"Jan,Feb,Dec",78.3,2.3,0,1059.8,58.5,51,19.63,74.5,53.79,64.15,32.84
Darwin,NT,-12.42,130.89,Autumn,"Mar,Apr,May",84.6,2,0,433.3,31,25.5,21.27,63.83,64.35,61.67,70.68
Darwin,NT,-12.42,130.89,Winter,"Jun,Jul,Aug",69.2,0.4,0,7.3,1.6,0.8,21.03,49.83,80.58,69.68,99.41
Darwin,NT,-12.42,130.89,Spring,"Sep,Oct,Nov",88.8,9.2,0,233,21.8,16.8,23.77,61,63.89,53.85,82.53
Darwin,NT,-12.42,130.89,Annual,"Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec",320.9,13.9,0,1733.4,112.9,94.1,21.43,62.29,65.65,62.34,71.37
Canberra,ACT,-35.3,149.2,Summer,"Jan,Feb,Dec",25.8,4.9,0.1,168.1,21.7,16.5,24.27,50.83,91.61,84.54,85.99
Canberra,ACT,-35.3,149.2,Autumn,"Mar,Apr,May",3.1,0.2,0,141.1,22.6,14.7,13.97,61.67,84.3,98.49,88.11
Canberra,ACT,-35.3,149.2,Winter,"Jun,Jul,Aug",0,0,0,128.1,31.4,18.5,9.8,69.67,61.61,100,87.63
Canberra,ACT,-35.3,149.2,Spring,"Sep,Oct,Nov",2.8,0.3,0,178.8,30.4,22.3,20.27,56,86.35,98.54,83.45
Canberra,ACT,-35.3,149.2,Annual,"Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec",31.7,5.4,0.1,616.1,106.1,72,17.07,59.54,80.97,95.39,86.3
